node,activity_count,retweet_ratio,mention_ratio,reply_ratio,activity_span,is_active
1,0,0.0,0.0,0.0,0,0
2,1,1.0,0.0,0.0,0,1
3,1,1.0,0.0,0.0,0,1
4,15,0.4666666666666667,0.4666666666666667,0.06666666666666667,230389,1
5,0,0.0,0.0,0.0,0,0
6,1,0.0,1.0,0.0,0,1
7,1,0.0,1.0,0.0,0,1
8,0,0.0,0.0,0.0,0,0
10,1,1.0,0.0,0.0,0,1
15,0,0.0,0.0,0.0,0,0
17,0,0.0,0.0,0.0,0,0
19,1,0.0,1.0,0.0,0,1
24,0,0.0,0.0,0.0,0,0
26,0,0.0,0.0,0.0,0,0
27,0,0.0,0.0,0.0,0,0
31,4,0.5,0.5,0.0,7,1
32,3,0.0,0.6666666666666666,0.3333333333333333,0,1
33,2,0.0,0.5,0.5,0,1
34,2,1.0,0.0,0.0,3495,1
39,4,0.75,0.25,0.0,51729,1
42,0,0.0,0.0,0.0,0,0
43,0,0.0,0.0,0.0,0,0
44,0,0.0,0.0,0.0,0,0
45,1,0.0,1.0,0.0,0,1
46,1,1.0,0.0,0.0,0,1
47,2,0.5,0.5,0.0,34585,1
48,0,0.0,0.0,0.0,0,0
50,0,0.0,0.0,0.0,0,0
51,0,0.0,0.0,0.0,0,0
52,1,0.0,1.0,0.0,0,1
57,0,0.0,0.0,0.0,0,0
59,1,0.0,1.0,0.0,0,1
62,0,0.0,0.0,0.0,0,0
63,0,0.0,0.0,0.0,0,0
67,0,0.0,0.0,0.0,0,0
68,2,0.0,1.0,0.0,278482,1
69,1,0.0,1.0,0.0,0,1
71,6,0.5,0.5,0.0,386418,1
72,5,0.2,0.8,0.0,19188,1
74,1,1.0,0.0,0.0,0,1
77,0,0.0,0.0,0.0,0,0
78,0,0.0,0.0,0.0,0,0
80,0,0.0,0.0,0.0,0,0
81,2,0.5,0.5,0.0,0,1
83,1,1.0,0.0,0.0,0,1
85,0,0.0,0.0,0.0,0,0
86,0,0.0,0.0,0.0,0,0
88,21,0.14285714285714285,0.8571428571428571,0.0,348019,1
89,1,0.0,1.0,0.0,0,1
91,0,0.0,0.0,0.0,0,0
93,1,1.0,0.0,0.0,0,1
94,0,0.0,0.0,0.0,0,0
99,0,0.0,0.0,0.0,0,0
106,0,0.0,0.0,0.0,0,0
108,0,0.0,0.0,0.0,0,0
131,6,0.6666666666666666,0.16666666666666666,0.16666666666666666,148666,1
134,2,0.0,0.5,0.5,0,1
137,0,0.0,0.0,0.0,0,0
138,0,0.0,0.0,0.0,0,0
140,1,1.0,0.0,0.0,0,1
141,2,0.0,1.0,0.0,24404,1
143,0,0.0,0.0,0.0,0,0
145,1,0.0,1.0,0.0,0,1
146,1,0.0,1.0,0.0,0,1
147,1,1.0,0.0,0.0,0,1
148,3,1.0,0.0,0.0,85681,1
158,0,0.0,0.0,0.0,0,0
159,0,0.0,0.0,0.0,0,0
161,0,0.0,0.0,0.0,0,0
171,1,0.0,1.0,0.0,0,1
173,1,1.0,0.0,0.0,0,1
175,2,0.0,0.5,0.5,0,1
182,0,0.0,0.0,0.0,0,0
186,1,1.0,0.0,0.0,0,1
188,1,0.0,1.0,0.0,0,1
202,0,0.0,0.0,0.0,0,0
205,8,0.375,0.625,0.0,354812,1
206,0,0.0,0.0,0.0,0,0
209,0,0.0,0.0,0.0,0,0
211,0,0.0,0.0,0.0,0,0
213,3,0.0,1.0,0.0,39835,1
214,0,0.0,0.0,0.0,0,0
216,2,0.0,1.0,0.0,0,1
220,0,0.0,0.0,0.0,0,0
221,0,0.0,0.0,0.0,0,0
222,1,0.0,1.0,0.0,0,1
223,0,0.0,0.0,0.0,0,0
253,0,0.0,0.0,0.0,0,0
290,1,0.0,1.0,0.0,0,1
291,0,0.0,0.0,0.0,0,0
295,1,0.0,1.0,0.0,0,1
299,0,0.0,0.0,0.0,0,0
301,1,0.0,1.0,0.0,0,1
306,1,1.0,0.0,0.0,0,1
308,4,0.25,0.5,0.25,277810,1
317,1,0.0,1.0,0.0,0,1
318,0,0.0,0.0,0.0,0,0
320,0,0.0,0.0,0.0,0,0
322,1,0.0,1.0,0.0,0,1
323,0,0.0,0.0,0.0,0,0
326,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,89638,1
327,0,0.0,0.0,0.0,0,0
330,1,1.0,0.0,0.0,0,1
331,1,1.0,0.0,0.0,0,1
333,0,0.0,0.0,0.0,0,0
334,0,0.0,0.0,0.0,0,0
335,0,0.0,0.0,0.0,0,0
339,3,0.6666666666666666,0.3333333333333333,0.0,52605,1
349,8,0.125,0.625,0.25,219364,1
350,0,0.0,0.0,0.0,0,0
352,0,0.0,0.0,0.0,0,0
353,0,0.0,0.0,0.0,0,0
354,1,1.0,0.0,0.0,0,1
355,1,1.0,0.0,0.0,0,1
356,0,0.0,0.0,0.0,0,0
357,0,0.0,0.0,0.0,0,0
358,0,0.0,0.0,0.0,0,0
360,10,0.8,0.2,0.0,201568,1
362,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,6177,1
365,0,0.0,0.0,0.0,0,0
367,1,0.0,1.0,0.0,0,1
368,1,1.0,0.0,0.0,0,1
369,6,0.3333333333333333,0.6666666666666666,0.0,264825,1
370,1,1.0,0.0,0.0,0,1
371,2,0.5,0.5,0.0,0,1
372,0,0.0,0.0,0.0,0,0
373,3,0.0,1.0,0.0,0,1
374,0,0.0,0.0,0.0,0,0
375,0,0.0,0.0,0.0,0,0
376,5,0.6,0.4,0.0,267480,1
378,11,0.0,0.8181818181818182,0.18181818181818182,234234,1
379,1,1.0,0.0,0.0,0,1
381,0,0.0,0.0,0.0,0,0
383,2,0.5,0.5,0.0,0,1
385,1,1.0,0.0,0.0,0,1
386,0,0.0,0.0,0.0,0,0
387,1,0.0,1.0,0.0,0,1
389,36,0.3888888888888889,0.4444444444444444,0.16666666666666666,289875,1
393,1,1.0,0.0,0.0,0,1
394,1,1.0,0.0,0.0,0,1
396,0,0.0,0.0,0.0,0,0
398,3,0.0,1.0,0.0,43474,1
400,8,0.125,0.5,0.375,56023,1
402,3,0.3333333333333333,0.6666666666666666,0.0,156413,1
403,5,0.8,0.2,0.0,101940,1
404,3,0.0,0.6666666666666666,0.3333333333333333,0,1
407,1,0.0,1.0,0.0,0,1
408,2,0.5,0.5,0.0,0,1
409,2,1.0,0.0,0.0,37812,1
413,1,0.0,1.0,0.0,0,1
416,1,1.0,0.0,0.0,0,1
417,10,0.5,0.5,0.0,220361,1
418,2,0.0,1.0,0.0,0,1
419,2,0.0,1.0,0.0,56,1
421,6,0.3333333333333333,0.6666666666666666,0.0,20666,1
422,1,0.0,1.0,0.0,0,1
424,2,1.0,0.0,0.0,127810,1
428,4,0.25,0.5,0.25,137,1
429,3,0.0,0.6666666666666666,0.3333333333333333,0,1
431,1,0.0,1.0,0.0,0,1
432,2,0.5,0.5,0.0,0,1
434,1,0.0,1.0,0.0,0,1
439,30,0.3333333333333333,0.5,0.16666666666666666,388897,1
450,0,0.0,0.0,0.0,0,0
451,0,0.0,0.0,0.0,0,0
452,1,0.0,1.0,0.0,0,1
454,0,0.0,0.0,0.0,0,0
456,11,0.09090909090909091,0.9090909090909091,0.0,183164,1
459,0,0.0,0.0,0.0,0,0
461,5,0.2,0.8,0.0,133436,1
463,0,0.0,0.0,0.0,0,0
465,0,0.0,0.0,0.0,0,0
468,17,0.11764705882352941,0.7058823529411765,0.17647058823529413,262468,1
471,2,0.5,0.5,0.0,0,1
473,4,0.0,1.0,0.0,259421,1
474,0,0.0,0.0,0.0,0,0
476,0,0.0,0.0,0.0,0,0
480,0,0.0,0.0,0.0,0,0
484,1,0.0,1.0,0.0,0,1
485,2,0.0,1.0,0.0,0,1
489,2,0.5,0.5,0.0,0,1
490,0,0.0,0.0,0.0,0,0
491,0,0.0,0.0,0.0,0,0
492,106,0.42452830188679247,0.5188679245283019,0.05660377358490566,435446,1
498,1,0.0,1.0,0.0,0,1
