node,ic_mean,ic_std
3,1.505,2.879231668344873
5,4.16,13.814282464174532
8,5.995,31.16496390179202
32,8.28,23.50811774685502
34,6.33,17.015613418269705
44,10.66,24.3383319066858
47,14.685,57.618363175293354
52,4.48,9.844775264067737
67,2.005,4.341079934762778
69,11.89,37.34458327522212
81,1.065,0.7216474208365191
93,5.215,14.230557789489488
108,8.425,17.890063582894275
131,8.935,33.523734502587864
213,1.0,0.0
253,33.4,69.79097362839983
326,1.715,5.320129227753778
330,6.93,18.020962793369286
353,4.575,21.81110668902429
360,13.1,27.393977440306106
369,19.895,33.26655941031474
374,2.115,8.831861355342939
389,29.375,46.753442386630745
394,5.83,22.44818700919965
407,23.145,49.263820142169244
418,12.16,48.46198922867282
421,17.005,49.372816154236126
431,10.68,29.161577460761617
456,33.695,64.1577896673506
468,48.71,69.92907764299483
490,1.285,1.4709775661103737
503,14.2,22.880559433720148
508,4.305,7.498131433897381
511,31.73,75.13292953159753
547,17.25,40.32266732248748
548,1.3,1.4933184523068077
561,19.115,59.322691906217464
577,4.33,18.694146142576287
580,17.32,57.01480158695635
600,3.4,14.011067054296756
635,10.185,31.964680117279446
689,9.11,40.53070317672764
691,7.73,19.88233135223332
698,11.07,26.317771562197283
707,24.445,52.41599922733516
715,3.39,6.124369355288755
759,17.395,39.05930074898935
792,11.2,25.4835240891051
805,3.885,8.13029980997011
821,2.055,2.569430870835018
868,17.955,56.26644626240403
889,7.385,20.442523694495257
960,4.665,5.04804665192389
980,9.31,18.55165491270253
981,1.015,0.12155245781143219
995,22.635,38.53870489520892
1009,3.03,8.521097347173074
1016,22.46,57.33357131733553
1040,17.81,37.10180453832401
1059,18.035,58.71987546819221
1120,13.02,30.141492995536904
1142,13.71,33.07152702854829
1163,15.145,43.23278819368467
1168,19.995,58.24358312295013
1225,33.075,64.00952565829557
1298,13.5,38.45217809175444
1313,6.705,26.79436461273154
1317,7.755,19.01302119601196
1319,12.685,30.783206054600615
1332,29.21,45.788709306989645
1344,39.215,65.38072173813929
1355,7.95,18.2347881808372
1445,36.22,51.48370227557455
1447,4.095,15.120713442162707
1469,10.145,36.625591804092394
1538,5.025,15.67751176048036
1574,3.435,6.460323134333143
1621,22.745,46.19891746567229
1703,15.84,33.062280623090714
1764,12.8,40.816050764374545
1772,3.94,14.226960321867775
1793,2.575,8.410373059502177
1805,46.46,63.420094607308805
1814,5.04,15.97493035978561
1837,2.87,7.960094220547895
1854,8.08,32.52942667800956
1880,10.935,37.02351651315688
1967,8.65,21.09093407130182
1997,15.88,34.85190956030961
2010,4.615,16.42031592266117
2018,1.215,1.2840463387276955
2058,3.715,7.9839698771976835
2138,9.75,24.378627935140237
2156,2.245,6.864763287980146
2182,6.065,28.637925466066847
2185,7.94,40.886873199108784
2186,4.18,9.624842855860036
2198,3.6,13.165864954495014
2243,50.62,71.3036156166011
2256,9.68,28.50136137099419
2285,3.995,9.196465353601893
2288,3.3,14.39270648627283
2299,9.815,32.76111681551775
2347,4.265,5.486781843667561
2349,4.68,20.66537200245861
2357,1.015,0.12155245781143217
2397,1.04,0.27999999999999997
2402,33.64,62.1551317269942
2487,10.185,19.20340529697793
2538,6.65,21.799483938845892
2572,34.185,69.02514596145379
2634,1.83,7.4257053537020985
2669,2.98,8.902786080772694
2679,13.71,36.15129181647593
2690,2.29,14.388394629005697
2697,4.72,12.961157355730236
2703,3.18,8.182762369762427
2739,5.29,7.488384338427083
2799,3.875,31.384062436211156
2974,2.22,7.015098003591968
2994,8.885,22.263462780978166
3024,16.47,47.92754009961288
3043,15.655,44.8490353853904
3057,20.85,45.715287377418946
3065,24.355,50.0833203272307
3119,13.435,43.75689402825571
3202,3.345,9.169840511153943
3211,1.02,0.17204650534085253
3268,2.995,6.739805264249108
3273,49.98,75.174926671065
3281,9.475,29.90333384423884
3311,5.11,22.705679906138023
3368,9.82,32.325803934318486
3372,3.53,9.383448193494756
3374,10.385,23.618356737927385
3375,7.66,22.689742175705746
3378,4.88,13.820839337753695
3469,35.11,59.15731484778531
3484,1.0,0.0
3541,2.505,5.389802872090963
3604,5.855,25.821579637969478
3609,21.475,43.12457970809687
3641,9.79,53.3117801240964
3804,1.635,2.6271229510626264
3808,17.755,36.50623200222121
3809,1.58,6.309801898633586
3983,4.975,28.903708672071822
4118,10.26,30.900038834927056
4138,2.28,4.984134829636934
4181,24.535,53.7588948454114
4252,3.43,22.095590057746815
4269,36.19,70.1511503825846
4305,10.29,22.19990765746561
4318,26.71,73.80634051353583
4364,9.88,27.402109407853988
4365,37.505,64.45672947799942
4426,5.38,15.197881431304825
4431,8.07,36.45524790753726
4440,24.375,54.38726298500413
4493,14.55,33.086666498757474
4507,4.855,18.3772678872568
4541,38.9,60.87446098323992
4585,2.725,6.582505222177951
4604,8.685,30.99977056366708
4646,8.355,21.973597224851463
4761,4.16,9.54014674939542
4776,29.395,47.08045215373362
4826,7.59,25.974447058599722
4830,19.06,58.951390144762485
4851,5.355,12.391891502107336
4881,12.815,19.181000364944474
5005,17.575,47.91058729550286
5061,5.74,16.741039394255065
5079,36.36,62.162773425901776
5082,28.915,55.57344487252882
5092,13.595,34.828307093512315
5103,1.965,7.271435552901504
5137,55.125,94.12719784950575
5206,5.02,18.96152947417481
5253,12.815,44.59507568106596
5268,1.495,3.482811364400891
5406,33.37,52.37731474598521
5411,25.96,49.20415023145913
5414,37.41,85.27919969136671
5514,1.03,0.1977371993328519
5515,1.595,2.592484329750134
5516,1.435,1.2671917771197854
5643,6.84,21.366899634715374
5704,23.82,51.706456076586804
5721,3.59,6.477800552656742
5824,21.165,39.51174224202218
5934,3.47,16.311011617922414
5963,9.94,24.089757159423588
6019,23.18,57.528406896071786
6081,20.4,49.159739625022425
6113,4.135,15.708175419188569
6202,15.59,52.17673715363965
6212,16.95,32.88248013760519
6232,5.52,25.22042029784595
6236,19.0,44.93817975841923
6308,14.945,39.59484783403012
6321,10.57,25.992789384750534
6339,5.035,14.34481700824378
6369,3.24,6.554570924171925
6409,11.015,32.59945973478702
6645,31.26,65.28700023741327
6657,2.045,2.9194134684898607
6663,1.03,0.1977371993328519
6666,1.695,2.488367939031525
6873,1.79,1.8373622397339073
6886,27.7,65.87040306541323
7279,30.03,80.05897263892412
7283,1.66,2.7972128985831595
7289,31.76,75.92280553298858
7295,9.52,29.72826264684837
7369,2.16,2.0915066339842197
7370,16.065,59.25850803893057
7371,2.18,4.750536811771908
7393,11.395,32.695090992379875
7402,12.655,38.601502237607285
7452,15.465,51.041833577958386
7468,15.0,53.73499790639244
7477,4.045,11.770427987120945
7481,19.285,54.65357970892666
7560,4.725,16.70626753646667
7682,7.735,45.44265369671978
7687,16.445,44.15650546635229
7756,1.0,0.0
7774,2.83,11.570700065251023
7783,1.07,0.4848711168960263
7937,3.32,12.791309549846725
7942,19.48,44.84372419859884
7968,3.2,7.297259759663212
7976,4.59,20.801487927549797
8006,3.165,10.060704498194944
8054,9.475,26.783192024103474
8131,15.255,48.31117857183781
8134,4.645,14.985625612566194
8144,5.005,20.03434488572062
8154,19.73,40.981301833885176
8178,5.815,19.806836572254536
8209,3.06,13.496162417517063
8268,4.125,18.614493681000297
