node,in_degree,out_degree,degree,clustering
1,63,11,74,0.014475743348982786
2,218,44,262,0.13847818247385504
3,14,15,29,0.5019762845849802
4,466,163,629,0.08843705072910249
5,185,39,224,0.16759185831350779
6,664,38,702,0.043751062077619904
7,83,54,137,0.14765694076038904
8,797,37,834,0.04086435013505471
10,326,124,450,0.09259915432404979
15,431,23,454,0.040270047412904554
17,26,1,27,0.046153846153846156
19,192,79,271,0.10297758447641352
24,49,27,76,0.21840296139608673
26,357,142,499,0.10948830092153795
27,356,122,478,0.09031098745036663
31,136,37,173,0.18546242489904463
32,326,69,395,0.11116225938997153
33,46,34,80,0.22568973315241972
34,253,58,311,0.11399941055113469
39,255,184,439,0.1512059014638994
42,262,11,273,0.04071977697051618
43,417,3,420,0.06412860142508003
44,325,67,392,0.12935444185444187
45,79,9,88,0.1079113924050633
46,119,1,120,0.1261904761904762
47,94,74,168,0.2474563953488372
48,115,97,212,0.1843137254901961
50,137,1,138,0.06696286893049826
51,144,46,190,0.1568898090637221
52,247,49,296,0.16277573529411765
57,127,15,142,0.062456627342123525
59,511,52,563,0.06876243140684732
62,70,64,134,0.22442244224422442
63,237,17,254,0.09166945466711275
67,87,15,102,0.1363532372454816
68,165,1,166,0.09937933552391384
69,67,57,124,0.320831342570473
71,395,133,528,0.11125259875259876
72,92,120,212,0.24076013766272633
74,15,64,79,0.20500438981562774
77,141,30,171,0.14601850172319972
78,329,8,337,0.08225936187326839
80,253,20,273,0.09975756487384395
81,441,4,445,0.05289295205261592
83,390,118,508,0.09101707498144024
85,12,7,19,0.32967032967032966
86,127,0,127,0.069241344831896
88,689,41,730,0.04055256836997208
89,165,20,185,0.07357473035439137
91,168,13,181,0.04704006378313733
93,149,13,162,0.03525971792225662
94,70,13,83,0.11460476050543637
99,127,41,168,0.11503831417624522
106,154,12,166,0.10023087333811002
108,33,48,81,0.1854364540931705
131,10,61,71,0.23758320532514082
134,192,97,289,0.15314220618948168
137,119,10,129,0.16115702479338842
138,735,1,736,0.03488850581104376
140,92,91,183,0.21662600209132102
141,113,82,195,0.18366524228009354
143,78,26,104,0.17303370786516853
145,41,29,70,0.2365396249243799
146,193,52,245,0.10999628390932739
147,130,22,152,0.18933697881066303
148,56,12,68,0.22323049001814882
158,122,27,149,0.11995577667219458
159,119,31,150,0.19952295766249253
161,159,16,175,0.04057480980557904
171,166,23,189,0.1393544382371198
173,39,46,85,0.23989071038251367
175,78,25,103,0.22773109243697479
182,68,23,91,0.1692624155157214
186,125,20,145,0.08446655610834715
188,375,147,522,0.11562366964665816
202,37,2,39,0.05263157894736842
205,500,7,507,0.0449019033211092
206,988,31,1019,0.03763193477427297
209,19,16,35,0.3448275862068966
211,401,71,472,0.07999724622216103
213,562,4,566,0.04344758953428316
214,139,25,164,0.10816925010473398
216,168,23,191,0.04364640883977901
220,682,17,699,0.04066779550248047
221,179,52,231,0.08665701373349129
222,35,13,48,0.2822410147991543
223,224,33,257,0.102696131016234
253,230,66,296,0.09126798260287722
290,186,84,270,0.12950575994054256
291,265,65,330,0.11384722333627444
295,44,24,68,0.20606060606060606
299,212,53,265,0.13703537841468877
301,931,63,994,0.041896649043661104
306,162,32,194,0.12354679802955665
308,236,40,276,0.09436376210235131
317,488,3,491,0.02145987229247527
318,47,18,65,0.18027828191167575
320,5,13,18,0.3235294117647059
322,453,50,503,0.0721033657009026
323,479,100,579,0.05931001500684378
326,86,16,102,0.15241280458671763
327,642,20,662,0.04391786813155263
330,362,66,428,0.07121854190089077
331,495,16,511,0.04903347477604903
333,102,86,188,0.17621843257851086
334,54,57,111,0.2300632911392405
335,553,12,565,0.04999967358876101
339,229,107,336,0.10576364692218351
349,416,30,446,0.08083889633123571
350,50,7,57,0.04053109713487072
352,606,42,648,0.0425368112196829
353,10,8,18,0.14102564102564102
354,174,18,192,0.08178009835468399
355,68,131,199,0.1524595803233574
356,195,3,198,0.08776103621464446
357,87,34,121,0.12596232596232596
358,29,21,50,0.15856236786469344
360,79,50,129,0.2766541822721598
362,64,24,88,0.21466198419666374
365,217,1,218,0.09973364900858242
367,126,159,285,0.187430990062569
368,43,56,99,0.25821596244131456
369,352,140,492,0.1181829655892511
370,533,133,666,0.08929318609147004
371,23,100,123,0.19584158415841585
372,62,49,111,0.3045143638850889
373,233,51,284,0.14367532339291003
374,112,6,118,0.094279176201373
375,43,61,104,0.21668946648426812
376,185,58,243,0.14038717304566278
378,217,174,391,0.16289225629399834
379,37,31,68,0.1411764705882353
381,93,152,245,0.16964989305414838
383,765,32,797,0.045846358496840704
385,134,42,176,0.12051282051282051
386,38,99,137,0.2036677834597073
387,99,44,143,0.15358843237524247
389,118,60,178,0.15602836879432624
393,132,121,253,0.2239166469334596
394,54,37,91,0.27927565392354126
396,674,9,683,0.037317554240631164
398,28,138,166,0.19208870242732995
400,278,90,368,0.13121426100404956
402,177,60,237,0.16960199004975124
403,277,42,319,0.05291811846689896
404,51,54,105,0.2504677893611334
407,717,176,893,0.07478834309853853
408,604,184,788,0.07892656599247669
409,96,125,221,0.14158674803836094
413,13,24,37,0.15725806451612903
416,12,9,21,0.37362637362637363
417,77,80,157,0.16666666666666666
418,208,21,229,0.11928820531163373
419,134,121,255,0.14607026592821207
421,67,52,119,0.15576592082616178
422,192,221,413,0.15649987336734325
424,56,16,72,0.12155388471177944
428,62,27,89,0.2265892002734108
429,42,58,100,0.2671232876712329
431,258,79,337,0.13492447826588264
432,97,47,144,0.18565079365079365
434,185,180,365,0.16983503114889975
439,192,122,314,0.23298366431774503
450,15,72,87,0.18175438596491228
451,144,39,183,0.13145294029627413
452,77,104,181,0.2743667679837893
454,209,44,253,0.11360180889633932
456,204,135,339,0.14520917678812414
459,536,92,628,0.08547454038853819
461,274,118,392,0.16043416705993394
463,268,1,269,0.0920213061088609
465,413,16,429,0.05397017467199982
468,210,125,335,0.20794979079497908
471,76,41,117,0.15528350515463918
473,129,138,267,0.24673463764122347
474,70,66,136,0.15335051546391754
476,32,123,155,0.1754920634920635
480,123,24,147,0.14479380268853953
484,145,43,188,0.18006617038875103
485,145,83,228,0.145351823317925
489,435,6,441,0.03979024312728428
490,39,18,57,0.14343434343434344
491,53,19,72,0.21946060285563193
492,237,201,438,0.1697823392854026
