GCN LT EXPERIMENT RESULTS
============================================================
Best Epoch: 392
Best Validation MAE: 11.102865

Test Metrics
----------------------------------------
MAE: 11.363275527954102
RMSE: 20.604896689333945
R2: 0.08669871091842651
Spearman: 0.37585814507612564
KendallTau: 0.2731392755455921
Precision@10: 0.1
Precision@20: 0.3
Recall@10: 0.1
Recall@20: 0.3
NDCG@10: 0.3499649284298586
NDCG@20: 0.41514055964205987
Top10Overlap: 1
Top20Overlap: 6

Elite Diagnostics
----------------------------------------
Top1_MAE: 147.38839721679688
Top5_MAE: 83.60558319091797
Top10_MAE: 61.8802604675293
Top1_MSE: 21723.33984375
Top5_MSE: 8125.23193359375
Top10_MSE: 4886.52587890625
P95_MAE: 68.9347915649414
P95_MSE: 5822.9150390625
